row_id,user_id,item_id,timestamp,target
43711,270,535,876954123,1
73019,682,405,888522456,0
12558,326,944,879877326,0
17076,405,1217,885548633,0
72444,394,69,880887063,1
17814,50,508,877052438,1
14181,339,1039,891033932,1
33114,374,48,880395426,1
10580,58,654,884304865,1
74524,622,586,882671916,0
60420,262,496,879792402,1
44424,655,1085,888813416,0
44371,436,559,887770640,1
81381,697,546,882622626,1
42856,659,77,891386680,1
18915,265,591,875320424,1
99359,445,1,891199749,0
49012,672,476,879789462,1
95869,721,1295,877137214,0
90044,807,515,892528999,1
11614,255,259,883215759,0
1692,16,56,877719863,1
67549,327,181,887745537,1
39707,16,58,877720118,1
6496,95,474,880570909,1
32366,328,97,885046174,0
97348,363,313,891493571,1
68435,768,476,883834705,1
64191,642,473,886131585,0
43662,682,333,888518279,1
99759,721,242,877137597,0
20877,13,51,882399419,0
85908,537,708,886031860,0
47250,466,182,890284706,1
43494,305,845,886323335,0
84588,104,121,888466002,0
40183,618,9,891308141,0
55844,796,1090,893194992,1
51263,624,111,879792671,0
2307,204,340,892389195,1
79289,642,21,885605148,1
50674,777,168,875980492,1
90750,933,411,874938689,0
18627,323,875,878739029,0
95706,807,228,892529448,1
75847,611,882,891636192,1
77742,592,9,882608182,1
9924,31,514,881548030,1
82124,874,305,888632057,1
61567,617,179,883789386,1
7953,311,199,884365485,1
15664,391,474,877399171,1
76042,5,63,878844629,0
49351,472,226,875982867,1
29354,532,763,892866230,1
78096,627,402,879530866,0
70389,897,926,879993674,1
2730,194,530,879521167,1
14032,378,10,880044454,0
5789,303,129,879468547,1
44492,579,286,880951444,1
87145,834,284,890862468,1
47302,682,573,888521116,1
13995,271,528,885848448,0
70060,580,597,884126077,0
39010,455,40,879111662,0
45277,327,447,887746196,1
2409,268,684,875744321,0
56874,749,511,878847286,1
66342,455,121,878585685,1
23996,16,502,877723670,1
35759,380,425,885479163,1
80977,650,499,891372316,0
60846,568,530,877907782,0
65457,506,742,878044851,1
10010,204,1194,892513906,1
12972,244,209,880605485,1
88433,552,1362,879222698,0
58231,700,168,884494420,0
57634,91,501,891439130,0
81388,805,13,881704063,0
